price,spec_rating,Ram,ROM,display_size,resolution_width,resolution_height,warranty
93990,80,16,1024,14,2880,1800,1
84990,69,16,512,14,3840,2400,1
44190,69.32352941,8,1024,15.6,1920,1080,1
159990,79,16,1024,16,2560,1600,1
52990,70,16,512,15.6,1920,1080,1
39990,62,8,512,15.6,1920,1080,1
73990,63,16,1024,14,1920,1200,1
57500,70,16,512,15.6,1920,1080,1
59990,60,8,512,15.6,1920,1080,1
53990,69,16,512,15.6,1920,1080,1
33990,69.32352941,8,512,14,1920,1080,1
75990,70,16,512,16,2560,1600,1
144990,69.32352941,8,512,15.3,2880,1864,1
60539,64,16,512,15.6,1920,1080,1
56990,69.32352941,16,512,15.6,1920,1080,1
75533,66,16,512,15.6,1920,1080,1
74990,69,8,512,15.6,1920,1080,1
94990,77,16,512,15.6,1920,1080,1
179990,77,16,1024,16,2560,1600,1
77990,72,16,512,16,1920,1200,1
37990,69.32352941,8,512,15.6,1920,1080,1
62990,69.32352941,16,512,15.6,1920,1080,1
129999,78,16,1024,16,2560,1600,1
52990,62,8,512,15.6,1920,1080,1
104990,75,16,512,16,1920,1200,1
47999,62,8,512,14,2160,1440,1
114499,75,16,1024,16,1920,1200,1
49990,60,8,512,15.6,1920,1080,1
39990,69.32352941,8,512,15.6,1920,1080,1
68990,73,16,512,15.6,1920,1080,1
79990,72,16,512,15.6,1920,1080,1
66490,75,16,512,15.6,1920,1080,2
69990,70,16,512,14,1920,1200,1
86490,65,16,512,15.6,2880,1620,1
32790,69.32352941,8,512,15.6,1920,1080,1
429990,69.32352941,32,2048,16,3840,2400,1
49990,68,16,512,14,1920,1080,1
43990,62,16,512,14,1920,1080,1
36990,69.32352941,8,512,14,1920,1080,1
102990,79,16,1024,15.6,1920,1080,2
29990,69.32352941,8,256,15.6,1920,1080,1
77889,70,16,1024,14,1920,1080,1
69990,69.32352941,8,512,15.6,1920,1080,1
138990,74,16,1024,15.6,1920,1080,1
51990,67,8,512,15.6,1920,1080,1
69990,69.32352941,8,512,14,1920,1080,1
72990,66,16,512,15.6,1920,1080,1
50400,67,16,512,16,1200,1920,1
108000,60,8,512,14,1366,768,1
50990,69.32352941,8,1024,15.6,1920,1080,1
47990,67,8,512,15.6,1920,1080,1
91990,80,16,512,16.1,1920,1080,1
25449,69.32352941,8,256,14,1366,768,1
33207,69.32352941,8,512,15.6,1920,1080,1
52990,69.32352941,8,512,15.6,1920,1080,1
42434,66,8,512,14,1920,1080,1
42200,65,8,1024,15.6,1920,1080,1
41990,60,16,512,15.6,1920,1080,1
80900,79,16,512,15.6,1920,1080,1
38990,69.32352941,8,512,15.6,1920,1080,1
135990,69.32352941,8,512,13.6,2560,1664,1
72490,64,16,512,15.6,1920,1080,1
72490,62,16,512,14,2880,1800,1
35990,69.32352941,8,512,15.56,1920,1080,1
45989,64,8,512,15.6,3200,2000,1
52500,69.32352941,8,1024,15.6,1920,1080,1
59999,69.32352941,8,512,14,1366,768,1
112990,69.32352941,8,512,13.3,2560,1600,1
21990,69.32352941,8,512,14,1920,1080,1
